        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     600                     -0.76169585
                   602.1                     -0.80796217
                   604.2                     -0.85703114
                   606.3                      -0.9090621
                   608.4                      -0.9642172
                   610.5                      -1.0226629
                   612.6                      -1.0845703
                   614.7                      -1.1501194
                   616.8                      -1.2194943
                   618.9                      -1.2928815
                     621                      -1.3704685
                   623.1                       -1.452452
                   625.2                      -1.5390253
                   627.3                      -1.6303832
                   629.4                      -1.7267182
                   631.5                      -1.8282253
                   633.6                      -1.9350899
                   635.7                      -2.0474941
                   637.8                      -2.1656124
                   639.9                      -2.2896084
                     642                      -2.4196422
                   644.1                      -2.5558494
                   646.2                      -2.6983529
                   648.3                       -2.847258
                   650.4                      -3.0026529
                   652.5                      -3.1645993
                   654.6                      -3.3331241
                   656.7                      -3.5082372
                   658.8                      -3.6899231
                   660.9                      -3.8781241
                     663                      -4.0727279
                   665.1                      -4.2736311
                   667.2                      -4.4806668
                   669.3                      -4.6936199
                   671.4                      -4.9122343
                   673.5                      -5.1362361
                   675.6                      -5.3652846
                   677.7                        -5.59898
                   679.8                      -5.8369233
                   681.9                      -6.0786463
                     684                      -6.3236208
                   686.1                       -6.571282
                   688.2                      -6.8210587
                   690.3                      -7.0723028
                   692.4                      -7.3243066
                   694.5                       -7.576409
                   696.6                       -7.827847
                   698.7                      -8.0778373
                   700.8                      -8.3256236
                   702.9                      -8.5703934
                     705                      -8.8113676
                   707.1                      -9.0477132
                   709.2                      -9.2786719
                   711.3                      -9.5034637
                   713.4                      -9.7214175
                   715.5                      -9.9317707
                   717.6                      -10.133969
                   719.7                      -10.327389
                   721.8                      -10.511543
                   723.9                      -10.686001
                     726                      -10.850433
                   728.1                        -11.0046
                   730.2                      -11.148242
                   732.3                      -11.281316
                   734.4                      -11.403786
                   736.5                      -11.515654
                   738.6                      -11.617074
                   740.7                      -11.708097
                   742.8                      -11.789012
                   744.9                      -11.859978
                     747                      -11.921261
                   749.1                      -11.973134
                   751.2                      -12.015846
                   753.3                      -12.049629
                   755.4                      -12.074766
                   757.5                      -12.091497
                   759.6                      -12.100031
                   761.7                      -12.100546
                   763.8                      -12.093256
                   765.9                      -12.078316
                     768                      -12.055886
                   770.1                       -12.02608
                   772.2                      -11.989044
                   774.3                      -11.944888
                   776.4                      -11.893739
                   778.5                      -11.835738
                   780.6                      -11.771023
                   782.7                      -11.699748
                   784.8                      -11.622098
                   786.9                      -11.538292
                     789                      -11.448561
                   791.1                      -11.353182
                   793.2                       -11.25246
                   795.3                      -11.146732
                   797.4                      -11.036384
                   799.5                      -10.921826
                   801.6                      -10.803498
                   803.7                      -10.681869
                   805.8                       -10.55743
                   807.9                      -10.430697
                     810                      -10.302189
                   812.1                      -10.172438
                   814.2                      -10.041988
                   816.3                      -9.9113584
                   818.4                      -9.7810745
                   820.5                       -9.651641
                   822.6                       -9.523558
                   824.7                      -9.3972805
                   826.8                      -9.2732523
                   828.9                      -9.1518751
                     831                      -9.0335313
                   833.1                       -8.918555
                   835.2                      -8.8072493
                   837.3                      -8.6998797
                   839.4                      -8.5966785
                   841.5                      -8.4978335
                   843.6                      -8.4034944
                   845.7                      -8.3137811
                   847.8                      -8.2287759
                   849.9                      -8.1485276
                     852                      -8.0730551
                   854.1                      -8.0023413
                   856.2                      -7.9363554
                   858.3                      -7.8750336
                   860.4                      -7.8182849
